"Id","organizationname","departmentname","jobname"
1,Campbellford Memorial Hospital,GAIN,OCCUPATIONAL THERAPIST
2,Campbellford Memorial Hospital,GAIN,PERSONAL SUPPORT WORKER
3,Campbellford Memorial Hospital,GAIN,RPN
4,Campbellford Memorial Hospital,EMERGENCY DEPARTMENT,PHYSICIAN ASSISTANT
5,Campbellford Memorial Hospital,EMERGENCY DEPARTMENT,RN
6,Campbellford Memorial Hospital,EMERGENCY DEPARTMENT,UNIT CLERK
7,Campbellford Memorial Hospital,LABORATORY,MEDICAL LABORATORY ASSISTANT TECHNICIAN
8,Campbellford Memorial Hospital,LABORATORY,SENIOR LABORATORY TECHNOLOGIST
9,Campbellford Memorial Hospital,DIETARY,MANAGER NUTRITION FOOD SERVICE & CLINICAL DIETICIAN
10,Campbellford Memorial Hospital,MEDICAL/SURGICAL,RN
11,Campbellford Memorial Hospital,NURSING ADMINISTRATION,ASSISTANT DISCHARGE PLANNER
12,Campbellford Memorial Hospital,RESTORATIVE CARE,PHYSIOTHERAPIST
13,Campbellford Memorial Hospital,RESTORATIVE CARE,PHYSIOTHERAPY ASSISTANT
14,Campbellford Memorial Hospital,RESTORATIVE CARE,RECREATIONAL THERAPIST
15,Campbellford Memorial Hospital,MEDICAL/SURGICAL,RN UNIT COORDINATOR
16,Campbellford Memorial Hospital,MEDICAL/SURGICAL,RPN
17,Campbellford Memorial Hospital,MEDICAL/SURGICAL,UNIT CLERK
18,Campbellford Memorial Hospital,NURSING ADMINISTRATION,COLLABORATIVE PRACTICE LEADER
19,Campbellford Memorial Hospital,NURSING ADMINISTRATION,"DIRECTOR, PATIENT CARE / CNO"
20,Campbellford Memorial Hospital,NURSING ADMINISTRATION,"MANAGER, CLINICAL SERVICES"
21,Campbellford Memorial Hospital,NURSING ADMINISTRATION,RPN
22,Campbellford Memorial Hospital,NURSING ADMINISTRATION,UNIT CLERK
23,Campbellford Memorial Hospital,HEALTH RECORDS,DECISION SUPPORT COORDINATOR
24,Campbellford Memorial Hospital,HOUSEKEEPING,HOUSEKEEPING PORTER
25,Campbellford Memorial Hospital,MAINTENANCE,FACILITIES MANAGER
26,Campbellford Memorial Hospital,FINANCE,ACCOUNTING CLERK
27,Campbellford Memorial Hospital,HEALTH RECORDS,BOOKING CLERK
28,Campbellford Memorial Hospital,HEALTH RECORDS,TRANSCRIPTIONIST
29,Campbellford Memorial Hospital,HEALTH RECORDS,HEALTH RECORDS TECH
30,Campbellford Memorial Hospital,HEALTH RECORDS,"MANAGER, HEALTH RECORDS, BOOKING, REGISTRATION"
31,Campbellford Memorial Hospital,FINANCE,CFO
32,Campbellford Memorial Hospital,FINANCE,FINANCE MANAGER
33,Campbellford Memorial Hospital,HOUSEKEEPING,HOUSEKEEPING AIDE
34,Campbellford Memorial Hospital,LABORATORY,LABORATORY MANAGER
35,Campbellford Memorial Hospital,LABORATORY,MEDICAL LABORATORY TECHNOLOGIST
36,Campbellford Memorial Hospital,ADMINISTRATION,CHIEF EXECUTIVE OFFICER
37,Campbellford Memorial Hospital,ADMINISTRATION,EXECUTIVE ASSISTANT
38,Campbellford Memorial Hospital,HUMAN RESOURCES,HR ASSISTANT
39,Campbellford Memorial Hospital,IT,COORDINATOR OF IS & IT
40,Campbellford Memorial Hospital,IT,IT TECH.
41,Campbellford Memorial Hospital,NURSING ADMINISTRATION,NURSING EXECUTIVE ASSISTANT
42,Campbellford Memorial Hospital,COMMUNITY MENTAL HEALTH,CASE MANAGER CRISIS WORKER
43,Campbellford Memorial Hospital,COMMUNITY MENTAL HEALTH,CRISIS SUPPORT WORKER
44,Campbellford Memorial Hospital,COMMUNITY MENTAL HEALTH,INTAKE/CRISIS CLINICIAN
45,Campbellford Memorial Hospital,COMMUNITY MENTAL HEALTH,MENTAL HEALTH PROGRAM COORDINATOR
46,Campbellford Memorial Hospital,COMMUNITY MENTAL HEALTH,CMHA NURSE
47,Campbellford Memorial Hospital,OR,RN
48,Campbellford Memorial Hospital,OR,RPN
49,Campbellford Memorial Hospital,GAIN,NURSE PRACTITIONER
50,Campbellford Memorial Hospital,MEDICAL/SURGICAL,NURSE PRACTITIONER
51,Campbellford Memorial Hospital,RESPIRATORY THERAPY,RESPIRATORY THERAPIST
52,Campbellford Memorial Hospital,GAIN,CLERK
53,Campbellford Memorial Hospital,REGISTRATION,REGISTRATION/COMMUNICATIONS CLERK
54,Campbellford Memorial Hospital,ASSESSMENT CENTRE,UNIT CLERK
55,Campbellford Memorial Hospital,LODGE,"MANAGER, COMMUNITY HEALTH, GAIN"
56,Campbellford Memorial Hospital,DIAGNOSTIC IMAGING,DIAGNOSTIC IMAGING TECH
57,Campbellford Memorial Hospital,DIAGNOSTIC IMAGING,MANAGER DIAGNOSTIC
58,Campbellford Memorial Hospital,DIAGNOSTIC IMAGING,DIAGNOSTIC IMAGING CLERK
59,Campbellford Memorial Hospital,DIAGNOSTIC IMAGING,SENIOR DIAGNOSTIC IMAGING TECH
60,Campbellford Memorial Hospital,DIAGNOSTIC IMAGING,SENIOR ULTRASOUND TECH
61,Campbellford Memorial Hospital,DIAGNOSTIC IMAGING,ULTRASOUND TECHNOLOGIST
62,Campbellford Memorial Hospital,PHARMACY,NORTHWEST PHARMACIST
63,Campbellford Memorial Hospital,PHARMACY,PHARMACIST
64,Campbellford Memorial Hospital,PHARMACY,PHARMACY TECHNICIAN
65,Haliburton Highlands Health System,CCS - GAINS,SOCIAL WORKER GAIN
66,Haliburton Highlands Health System,CCS - GAINS,HOME SUPPORT WORKER GAIN
67,Haliburton Highlands Health System,CCS - GAINS,OCCUPATIONAL THERAPIST GAIN
68,Haliburton Highlands Health System,CCS - GAINS,REGISTERED DIETITIAN GAIN
69,Haliburton Highlands Health System,CCS - GAINS,RPN GAIN
70,Haliburton Highlands Health System,EMERGENCY,REGISTERED LAB TECH
71,Haliburton Highlands Health System,EMERGENCY,REGISTERED NURSE HALIBURTON COVID UNIT
72,Haliburton Highlands Health System,EMERGENCY,REGISTERED NURSE HALIBURTON ER
73,Haliburton Highlands Health System,EMERGENCY,REGISTERED NURSE MINDEN ER
74,Haliburton Highlands Health System,EMERGENCY,S-RPN HALIBURTON COVID UNIT
